Index;Location;Province;Genus;species-clone;type-of-sample;Asymptomatic-diseased;Nursery-Field;Roots;Root-Collar;Stem;Growth-tip;Needles-Leaves;results
2752;Howick;Mpumalanga;Pinus;patula;Soil;D;N;Welldeveloped,Healthy,Plugbound;Outerbark,Cambium,Betweenouter&innerbark,Sapwood;Discolorationn;Canker;Alive;Fusariumscreening
2753;Scottsville;WesternCape;Pinus;patula;Seed/Cuttings;D;N;Healthy;Welldeveloped,Healthyy;Health;Healthy;Alive;Fusariumscreening
2754;Highflats;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;F;Welldeveloped,Healthy;Outerbark,Cambium,Betweenouter&innerbark,Sapwood;Discolorationn;Kino/Gum/ResinExudation,Discoloration,Outerbark,Cambium,Betweenouterandinnerbark,Sapwood;Alive;Fusariumscreening
2755;Melmoth;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;N;Welldeveloped,J-rooting,Healthy;Dead;Discolorationn;Discoloration;Alive;Fusariumscreening
2756;Kalmoesfontein;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;N;Welldeveloped,J-rooting,Healthy;Dead;Discolorationn;Discoloration;Alive;Fusariumscreening
2757;Howick;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;N;Welldeveloped,Healthy;Welldeveloped;Discolorationn;Discoloration;Alive;Fusariumscreening
2758;Howick;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;N;Welldeveloped,Healthy,J-rooting;Welldeveloped;Discolorationn,Outerbark,Cambium,Betweenouterandinnerbark;Healthy;Alive;Fusariumscreening
2759;Howick;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;N;Welldeveloped,Healthy,J-rooting,Plug-bound;Welldeveloped,Dead;Discolorationn,Sapwood;Healthy;Wilted;Fusariumscreening
2760;Howick;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;N;Welldeveloped,J-rooting,Healthy;Welldeveloped,Dead;Discolorationn,Sapwood;Healthy;Wilted;Fusariumscreening
2761;Cascades;Evergreen;Pinus;patula;Seed/Cuttings;A;N;Welldeveloped,Healthy,Plugbound;Welldeveloped,Dead;Health;Healthy;Alive;Fusariumscreening
2762;Howick;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;N;Healthy;Welldeveloped,Dead;Discolorationn;Discoloration;Wilted,Dead;Fusariumscreening
2763;Ngodwana;Mpumalanga;Pinus;patula;Seed/Cuttings;D;N;Welldeveloped,Healthy;Welldeveloped,Healthyy;Health;Healthy;Alive;Fusariumscreening
2764;Howick;Mpumalanga;Pinus;patula;Seed/Cuttings;A;N;Die-back;Healthyy;Health;Healthy;Alive;Fusariumscreening
2765;Sabie;Mpumalanga;Pinus;patula;Seed/Cuttings;D;N;Dry;Welldeveloped;Discolorationn,Outerbark,Betweenouterandinnerbark,Cambium;Healthy;Alive;Fusariumscreening
2766;Newcastle;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;N;Die-back;Welldeveloped,Healthyy;Health;Healthy;Alive;Fusariumscreening
2767;Newcastle;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;N;Die-back;Welldeveloped,Healthyy;Health;Healthy;Alive;Fusariumscreening
2768;Howick;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;N;Die-back,Healthy;Welldeveloped,Dead;Discolorationn;Discoloration;Wilted;Fusariumscreening
2769;Ngodwana;Mpumalanga;Pinus;patula;Seed/Cuttings;D;F;Welldeveloped,Healthy,Plugbound;Welldeveloped,Dead;Discolorationn;Discoloration;Dead,Discoloration;6/18samplestestedpositiveforFusariumciricnatum
2770;Ngodwana;Mpumalanga;Pinus;patula;Seed/Cuttings;D;F;Die-back;Welldeveloped;Discolorationn,Outerbark,Cambium,Betweenouterandinnerbark,Sapwood;Discoloration,Outerbark,Cambium,Betweenouterandinnerbark,Sapwood;Wilted,Scorch,Discoloration;Fusariumciricnatum
2771;Ngodwana;Mpumalanga;Pinus;patula;Seed/Cuttings;D;F;Die-back;Welldeveloped,Healthyy;Discolorationn,Betweenouterandinnerbark;Discoloration,Betweenouterandinnerbark;Alive;Fusariumciricnatum
2772;Howick;Kwazulu-Natal;Pinus;patula;HedgeSamples;D;F;Healthy;Welldeveloped,J-rooting;Health;Discoloration,Cambium;Wilted,Discoloration;Fusariumciricnatum
2773;Howick;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;F;Welldeveloped,Healthy,J-rooting;Welldeveloped,J-rooting;Discolorationn,Outerbark,Cambium,Sapwood;Discoloration,Cambium,Sapwood;Wilted,Discoloration;Diplodeapinea
2774;Hilton;Gauteng;Pinus;patula;Seed/Cuttings;D;N;discolourationofleaves;Fewroots;Discolorationn;Healthy;Alive;Fusariumciricnatum
2775;Howick;WesternCape;Pinus;patula;Seed/Cuttings;D;N;Die-back;Fewroots;Health;Healthy;Discoloration;Fusariumciricnatum
2776;Scottsville;WesternCape;Pinus;patula;Seed/Cuttings;D;N;Welldeveloped,Healthy;Welldeveloped,Healthyy;Outerbark,Cambium,Sapwood;Swelling;Alive;Secondarybacterium/Fungi
2777;Ngodwana;Mpumalanga;Pinus;patula;Seed/Cuttings;D;N;Healthy;Healthyy,Fewroots;Health;Healthy;Wilted;Secondarybacterium/Fungi
2778;Howick;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;F;Root:shootratio;Healthyy,Dead;Health,Discolorationn,Outerbark;Healthy,Discoloration,Sapwood;Alive,Dead;Fusariumciricnatum
2779;Ngodwana;Mpumalanga;Pinus;patula;Seed/Cuttings;D;N;Root:shootratio;Welldeveloped,Dead;Health;Healthy;Dead,Wilted;Fusariumciricnatum
2780;Ngodwana;Mpumalanga;Pinus;patula;Seed/Cuttings;D;N;Root:shootratio;Welldeveloped,Healthyy;Health;Healthy;Wilted,Discoloration;Fusariumciricnatum
2781;Ngodwana;Mpumalanga;Pinus;patula;Seed/Cuttings;A;F;Die-back;Welldeveloped,Healthyy;Health;Healthy;Alive;Fusariumciricnatum
2782;Scottsville;WesternCape;Pinus;patula;Seed/Cuttings;D;N;Root:shootratio;Welldeveloped,Healthyy;Health;Healthy;Alive;Secondarybacterium/Fungi
2783;Lothair;Mpumalanga;Pinus;patula;Seed/Cuttings;D;F;Root:shootratio;Healthyy;Health,Cambium;Healthy,Cambium;Alive;Fusariumciricnatum
2784;Ngodwana;Mpumalanga;Pinus;patula;Seed/Cuttings;D;N;Welldeveloped,Healthy,Plugbound;Dead;Discolorationn;Discoloration;Wilted,Dead;Fusariumciricnatum
2785;Tzaneen;Limpopo;Pinus;patula;Seed/Cuttings;D;F;Root:shootratio;Fewroots;Discolorationn;Discoloration,Betweeninnerandouterbark;Wilted,Discoloration;Fusariumciricnatum
2786;Tzaneen;Limpopo;Pinus;patula;Seed/Cuttings;D;F;Root:shootratio;Fewroots,Dead;Discolorationn,Sapwood;Discoloration,Sapwood;Dead;Fusariumciricnatum
2787;Howick;Kwazulu-Natal;Pinus;patula;foliage;A;F;Healthy;Welldeveloped,J-rooting,Dead;Discolorationn;Discoloration;Wilted,Dead,Discoloration;Fusariumciricnatum
2788;Howick;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;F;Root:shootratio;Welldeveloped,J-rooting;Discolorationn,Outerbark,Cambium,Sapwood;Discoloration,Outerbark,Cambium,Sapwood;Wilted,Scorch,Discoloration;Fusariumciricnatum
2789;Howick;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;F;Healthy;Welldeveloped,Dead;Discolorationn,Fruitingbodies;Discoloration;Wilted;Fusariumciricnatum
2790;Howick;Kwazulu-Natal;Pinus;patula;Hedge;D;F;Root:shootratio,Healthy;Fewroots;Health;Discoloration;Alive,Wilted;Secondarybacterium/Fungi
2791;WhiteRiver;Limpopo;Pinus;patula;Seed/Cuttings;D;N;Die-back;Welldeveloped;Discolorationn;Discoloration;Wilted;Fusariumciricnatum
2792;Tzaneen;Mpumalanga;Pinus;patula;Branch,Soil,leaves;D;N;Welldeveloped,Healthy,Plugbound;Welldeveloped,J-rooting,Dead;Discolorationn,Cambium;Discoloration,Cambium;Alive;Fusariumciricnatum
2793;Tzaneen;Limpopo;Pinus;patula;Seed/Cuttings;D;F;Root:shootratio,Healthy;Fewroots,Dead;Discolorationn;Discoloration;Wilted,Dead,Discoloration;Fusariumciricnatum
2794;Howick;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;F;Healthy;Fewroots,Dead;Discolorationn;Discoloration;Wilted;Secondarybacterium/Fungi
2795;Howick;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;F;Healthy;Welldeveloped,J-rooting,Dead,Plugboundd;Discolorationn,Cambium;Discoloration,Cambium;Wilted,Dead,Discoloration;Fusariumciricnatum
2796;Howick;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;F;Welldeveloped,Healthy,Plugbound;Welldeveloped,Dead;Discolorationn;Discoloration;Wilted,Discoloration;Secondarybacterium/Fungi
2797;Howick;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;F;Die-back;Welldeveloped,Dead,Fewroots,J-rooting;Discolorationn,Cambium,Sapwood;Discoloration,Cambium,Sapwood;Alive;Fusariumciricnatum
2798;Howick;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;F;Healthy;Fewroots;Discolorationn,Sapwood;Discoloration,Cambium,Sapwood;Wilted,Discoloration;Secondarybacterium/Fungi
2799;Howick;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;F;Die-back,Healthy,Healthy;Welldeveloped,J-rooting,Dead;Discolorationn;Discoloration;Alive;Fusariumciricnatum
2800;Howick;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;F;Healthy;Welldeveloped,Dead,Plugboundd;Mechanicaldamage,Discolorationn;Healthy;Alive,Wilted;Secondarybacterium/Fungi
2801;Howick;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;F;Healthy;Welldeveloped,J-rooting,Dead;Discolorationn;Discoloration;Alive,Wilted;Fusariumciricnatum
2802;Howick;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;F;Root:shootratio;J-rooting,Fewroots;Outerbark;Swelling;Dead;ScreeningforFusariumcircitum
2803;Howick;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;F;Root:shootratio;Welldeveloped,Insect/mechanicaldamage;Discolorationn;Healthy,Outerbark;Alive;Fusariumciricnatum
2804;Howick;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;F;Healthy;Welldeveloped,J-rooting,Dead;Discolorationn;Discoloration;Wilted,Dead,Discoloration;Secondarybacterium/Fungi
2805;Howick;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;F;Root:shootratio;Fewroots;Discolorationn,Outerbark;Outerbark;Alive;ScreeningforFusariumcircitum
2806;Howick;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;F;Root:shootratio;Fewroots;Health;Healthy;Alive;Fusariumciricnatum
2807;Ngodwananursery;Mpumalanga;Pinus;patula;Seed/Cuttings;A;F;Welldeveloped,Healthy,J-rooting,Plug-bound;Welldeveloped,Healthyy;Health;Discoloration,Sapwood;Alive;Fsub
2808;Howick;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;F;Root:shootratio;Welldeveloped,Dead;Health;Healthy;Alive;Fusariumciricnatum
2809;Howick;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;F;Root:shootratio;Welldeveloped,Healthyy;Health;Healthy;Alive;Fusariumciricnatum
2810;Richmond;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;F;Healthy;Welldeveloped,Healthyy;Health;Healthy;Alive,Wilted;ScreeningforFusariumcircitum
2811;Richmond;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;F;Die-back;Welldeveloped,Healthyy;Health;Healthy;Wilted,Discoloration;Secondarybacterium/Fungi
2812;Howick;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;F;Root:shootratio,Healthy;Welldeveloped,J-rooting;Discolorationn,Outerbark,Cambium,Sapwood;Discoloration,Cambium,Sapwood;Wilted;Fusariumciricnatum
2813;Richmond;NothernCape;Pinus;patula;Seed/Cuttings;A;N;Root:shootratio,Healthy;Welldeveloped;Health;Healthy;Alive,Wilted;Fusariumciricnatum
2814;Howick;Kwazulu-Natal;Pinus;patula;Hedge;D;N;Root:shootratio,Die-back;Welldeveloped;Discolorationn;Discoloration;Wilted,Discoloration;ScreeningforFusariumcircitum
2815;Tweedie;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;N;Healthy;Welldeveloped,Dead,J-rooting;Discolorationn;Healthy,Discoloration;Alive,Wilted;Fusariumciricnatum
2816;Ngodwana;Mpumalanga;Pinus;patula;Seed/Cuttings;D;F;Healthy;Welldeveloped,J-rooting,Dead;Discolorationn;Discoloration;Alive,Wilted,Discoloration;Fusariumciricnatum
2817;Cascades;Mpumalanga;Pinus;patula;Seed/Cuttings;D;F;Root:shootratio,Healthy;Welldeveloped;Health;Healthy;Wilted;Fusariumciricnatum
2818;Howick;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;F;Healthy;Welldeveloped,Healthyy,J-rooting;Health;Healthy;Alive,Wilted;Secondarybacterium/Fungi
2819;Howick;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;F;Die-back;Welldeveloped,Dead;Health;Healthy;Alive;ScreeningforFusariumcircitum
2820;Howick;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;F;Healthy;Welldeveloped,Healthyy,J-rooting;Health;Healthy;Alive,Wilted;Fusariumciricnatum
2821;Howick;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;F;Root:shootratio;Welldeveloped,Healthyy;Health;Healthy;Alive,Wilted;ScreeningforFusariumcircitum
2822;Cascades;Mpumalanga;Pinus;patula;Seed/Cuttings;D;N;Healthy;Welldeveloped,Dead,J-rooting,Plugboundd;Discolorationn;Healthy;Alive,Wilted;Fusariumciricnatum
2823;Ngodwana;Mpumalanga;Pinus;patula;Seed/Cuttings;D;N;Healthy;Welldeveloped,Dead,J-rooting;Discolorationn;Discoloration;Wilted,Dead,Discoloration;Fusariumciricnatum
2824;Ngodwana;Mpumalanga;Pinus;patula;Seed/Cuttings;D;N;Healthy;Welldeveloped,Dead,J-rooting;Health;Healthy;Alive,Discoloration;Fusariumciricnatum
2825;Ngodwana;Mpumalanga;Pinus;patula;Seed/Cuttings;D;N;Welldeveloped,J-rooting,Healthy;Welldeveloped,Dead;Discolorationn,Cambium;Healthy;Alive;Fusariumciricnatum
2826;Howick;Kwazulu-Natal;Pinus;patula;HedgeSamples;D;F;Welldeveloped,Healthy,Plugbound;Welldeveloped,Dead;Discolorationn,Sapwood;Healthy,Discoloration,Sapwood;Alive;Fusariumciricnatum
2827;PietRetief;Mpumalanga;Pinus;patula;Seed/Cuttings;A;N;Healthy;Welldeveloped,Dead;Health;Healthy;Alive;Mycosphaerella
2828;Ngodwana;Mpumalanga;Pinus;patula;Seed/Cuttings;D;N;Healthy;Welldeveloped,J-rooting,Dead;Discolorationn;Healthy;Alive,Wilted;Secondarybacterium/Fungi
2829;Ngodwana;Mpumalanga;Pinus;patula;Seed/Cuttings;D;N;Welldeveloped,Healthy,J-rooting;Welldeveloped,Dead;Discolorationn,Sapwood;Mechanicaldamage,Healthy,Discoloration,Sapwood;Alive;Fusariumciricnatum
2830;Ngodwana;Mpumalanga;Pinus;patula;Seed/Cuttings;D;N;Welldeveloped,Healthy,Plugbound;Welldeveloped,Dead;Discolorationn,Cambium;Mechanicaldamage,Healthy;Alive;Fusariumciricnatum
2831;Scottsville;WesternCape;Pinus;patula;Seed/Cuttings;A;N;Healthy;Dead,Healthyy,Welldeveloped;Health,Sapwood;Sapwood;Alive;Fusariumscreening
2832;Scottsville;WesternCape;Pinus;patula;Seed/Cuttings;A;N;Welldeveloped,J-rooting,Healthy;Dead,Fewroots;Discolorationn,Sapwood;Sapwood,Discoloration;Alive;10Fusariumciricnatumdetected
2833;Scottsville;WesternCape;Pinus;patula;Seed/Cuttings;A;N;Die-back;Welldeveloped,Healthyy;Health;Healthy;Alive;Fusariumciricnatum
2834;Scottsville;WesternCape;Pinus;patula;Seed/Cuttings;A;N;Die-back;Welldeveloped,Healthyy;Health;Healthy;Alive;Fusariumciricnatum
2835;Scottsville;WesternCape;Pinus;patula;Seed/Cuttings;A;N;Healthy;Welldeveloped,Healthyy,J-rooting;Health;Healthy;Alive,Wilted;Secondarybacterium/Fungi
2836;Scottsville;WesternCape;Pinus;patula;Seed/Cuttings;A;N;Healthy;Welldeveloped;Discolorationn,Cambium,Sapwood;Discoloration,Cambium,Sapwood;Alive;Fusariumscreening
2837;Howick;Kwazulu-Natal;Pinus;patula;HedgeSamples;D;F;Root:shootratio;Fewroots;Health;Healthy,Outerbark;Alive;Secondarybacterium/Fungi
2838;Howick;Kwazulu-Natal;Pinus;patula;HedgeSamples;D;F;Die-back;Welldeveloped,Dead,J-rooting;Discolorationn,Cambium,Sapwood,Fruitingbodies;Discoloration,Sapwood;Wilted,Discoloration;Fusariumciricnatum
2839;Ngodwana;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;N;Die-back;Welldeveloped;Cambium,Discolorationn,Sapwood;Healthy;Alive,Discoloration;Fusariumciricnatum
2840;Ngodwana;Mpumalanga;Pinus;patula;Seedlings/Cuttings;D;N;discolouration;Welldeveloped,Dead;Outerbark,Cambium,Sapwood;Cambium,Sapwood;Wilted,Discoloration;Fusariumciricnatum
2841;Howick;Kwazulu-Natal;Pinus;patula;HedgeSamples;D;F;Healthy;Welldeveloped,Dead,J-rooting;Discolorationn,Cambium,Sapwood,Fruitingbodies;Discoloration,Cambium;Wilted,Dead,Discoloration;Fusariumciricnatum
2842;Howick;Kwazulu-Natal;Pinus;patula;HedgeSamples;D;F;Welldeveloped,Healthy,J-rooting;Welldeveloped,Fewroots,Dead;Discolorationn,Cambium;Healthy,Discoloration,Cambium;Wilted,Discoloration;Fusariumciricnatum
2843;Howick;Kwazulu-Natal;Pinus;patula;HedgeSamples;D;F;Root:shootratio;Welldeveloped,J-rooting;Health;ResinExudation;Alive;Fusariumciricnatum
2844;Howick;Kwazulu-Natal;Pinus;patula;HedgeSamples;D;F;Die-back;Welldeveloped;Discolorationn,Outerbark;Discoloration,Outerbark,Cambium;Wilted,Scorch,Discoloration;Fusariumciricnatum
2845;Newcastle;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;A;N;Root:shootratio;Healthyy;Discolorationn;Mechanicaldamage,Discoloration;Alive,Discoloration;Fusariumscreening
2846;Richmond;NothernCape;Pinus;patula;Seedlings/Cuttings;D;F;Root:shootratio;Welldeveloped;Outerbark;Swelling;Alive;Fusariumciricnatum
2847;Richmond;NothernCape;Pinus;patula;Seedlings/Cuttings;D;F;Root:shootratio;Welldeveloped;Health;Healthy,Outerbark;Alive;Fusariumciricnatum
2848;Richmond;NothernCape;Pinus;patula;Seedlings/Cuttings;D;F;Healthy;Welldeveloped,Dead;Health;Healthy;Alive,Wilted;Secondarybacterium/Fungi
2849;Richmond;NothernCape;Pinus;patula;Seedlings/Cuttings;D;F;Healthy;Welldeveloped,Dead;Discolorationn,Cambium;Healthy;Alive,Wilted;Secondarybacterium/Fungi
2850;Ngodwana;Mpumalanga;Pinus;patula;Seed/Cuttings;D;F;Drytunted;Fewroots;Discolorationn;Discoloration;Alive;ScreeningforFusariumcircitum
2851;Ngodwana;Mpumalanga;Pinus;patula;Seed/Cuttings;D;F;Root:shootratio;Welldeveloped;Health,Discolorationn;Healthy,Discoloration;Alive,Wilted,Discoloration;10Fusariumciricnatumdetected
2852;Paulpietersburg;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;N;Healthy,Healthy;Welldeveloped,Dead;Discolorationn;Mechanicaldamage,Discoloration;Alive,Dead;Fusariumciricnatum
2853;Tzaneen;Limpopo;Pinus;patula;Seed/Cuttings;A;F;Healthy;Welldeveloped,Dead,Plugboundd;Discolorationn;Healthy;Wilted,Dead;Fcir
2854;Howick;Kwazulu-Natal;Pinus;patula;Soil,Seed,Seed,root;A;F;Root:shootratio;Welldeveloped,J-rooting,Dead;Discolorationn,Cambium,Sapwood;Discoloration,Cambium,Sapwood;Wilted,Dead;Fusariumciricnatum
2855;Howick;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;F;Welldeveloped,J-rooting,Healthy;Welldeveloped,Dead;Discolorationn,Sapwood;Healthy;Alive;Fusariumciricnatum
2856;Ngodwana;Mpumalanga;Pinus;patula;Seed/Cuttings;A;N;Root:shootratio,Healthy;Welldeveloped,Fewroots,Dead;Discolorationn,Cambium,Sapwood;Discoloration,Cambium,Sapwood;Alive,Wilted;Fusariumciricnatum
2857;Ngodwana;Mpumalanga;Pinus;patula;Seed/Cuttings;D;N;Healthy;Welldeveloped;Health;Healthy;Wilted,Discoloration;Secondarybacterium/Fungi
2858;Ngodwana;Mpumalanga;Pinus;patula;Seed/Cuttings;D;N;Healthy;Welldeveloped;Health;Healthy;Alive;Secondarybacterium/Fungi
2859;Howick;Mpumalanga;Pinus;patula;Seed/Cuttings;A;N;Healthy;Welldeveloped;Health;Healthy;Alive;FSPryspheariasp
2860;Howick;Kwazulu-Natal;Acacia;patula;Seed/Cuttings;D;F;Die-back;Dead,Fewroots;Discolorationn,Outerbark,Cambium,Sapwood;Discoloration,Cambium,Sapwood;Alive;Secondarybacterium/Fungi
2861;Ngodwana;Mpumalanga;Pinus;patula;Seed/Cuttings;D;N;Root:shootratio;Welldeveloped,Dead;Health;Healthy;Alive;Fusariumciricnatum
2862;Kalmoesfontein;WesternCape;Pinus;patula;Seed/Cuttings;D;N;Welldeveloped,Healthy,J-rooting,Plug-bound;Fewroots,Dead;Discolorationn,Outerbark,Betweeninnerandouterbark,Sapwood,Cambium;Discoloration,Outerbark,Betweeninnerandouterbark,Sapwood,Cambium;Dead;ScreeningforFusariumcircitum
2863;Scottsville;WesternCape;Pinus;patula;Seed/Cuttings;A;N;Brownleavesatbottom,greenattop;Welldeveloped,Healthyy;Health,Discolorationn,Outerbark;Healthy;Alive;Fusariumciricnatum
2864;Scottsville;WesternCape;Pinus;patula;Seed/Cuttings;A;N;Brownleavesatbottom,greenattop;Welldeveloped;Health,Discolorationn,Outerbark;Healthy;Alive;Fusariumscreening
2865;Scottsville;WesternCape;Pinus;patula;Seed/Cuttings;A;N;Die-back;Welldeveloped;Health,Discolorationn,Outerbark;Healthy;Alive;Fusariumscreening
2866;Ngodwana;Mpumalanga;Pinus;patula;Seed/Cuttings;D;N;Welldeveloped,Healthy,J-rooting;Welldeveloped;Discolorationn,Outerbark;Discoloration,Outerbark;Dead;Secondarybacterium/Fungi
2867;Ngodwana;Mpumalanga;Pinus;patula;Seed/Cuttings;D;N;Welldeveloped,Healthy,J-rooting;Welldeveloped,Dead;Health;Wilted;Wilted,Discoloration;Secondarybacterium/Fungi
2868;Ngodwana;Mpumalanga;Pinus;patula;Seed/Cuttings;A;N;Healthy;Healthyy;Health;Healthy;Alive;FusariumcircitumandDiplodiascreening
2869;Paulpietersburg;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;A;N;Healthy;Welldeveloped,Healthyy;Health;Healthy;Alive;Fusariumciricnatum
2870;Barbeton;Mpumalanga;Pinus;patula;Twigs/Branch;D;N;Welldeveloped,Healthy;Outerbark,Cambium,Betweenouter&innerbark,Sapwood;Discolorationn;Healthy;Alive;ScreeningforFusariumcircitum
2871;Parkhurst;Gauteng;Pinus;patula;Seed/Cuttings;D;F;Welldeveloped,Healthy,J-rooting,Plug-bound;Fewroots,Dead;Discolorationn,Outerbark,Betweenouterandinnerbark;Discoloration,Outerbark,Betweenouterandinnerbark;Dead;Fusariumciricnatum
2872;Parkhurst;Gauteng;Pinus;patula;Seed/Cuttings;D;F;Welldeveloped,Healthy;Fewroots,Dead,J-rooting;Discolorationn;Discoloration,Sapwood;Dead,Discoloration;Armilariasp
2873;Parkhurst;Gauteng;Pinus;patula;Seed/Cuttings;D;F;Welldeveloped,Healthy;Fewroots,Dead;Discolorationn,Sapwood;Discoloration;Dead;Secondarybacterium/Fungi
2874;Ngodwana;Mpumalanga;Pinus;patula;Seed/Cuttings;D;F;Welldeveloped,J-rooting,Healthy;Welldeveloped,Dead;Discolorationn;Discoloration;Alive,Discoloration;Secondarybacterium/Fungi
2875;Ngodwana;Mpumalanga;Pinus;patula;Seed/Cuttings;D;F;Dryampledriedout;Welldeveloped,Dead;Discolorationn;Discoloration;Dead;Secondarybacterium/Fungi
2876;Pietermaritzburg;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;F;Welldeveloped,Healthy,Plugbound;Healthyy;Health;Healthy;Alive;Secondarybacterium/Fungi
2877;Pietermaritzburg;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;D;F;Welldeveloped,Healthy;Healthyy;Health;Healthy;Alive;Secondarybacterium/Fungi
2878;Vlakkloof;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;A;N;Welldeveloped,Healthy;Healthyy,Discoloration;Health;Alive;Wilted,Discoloration;Fusariumciricnatumnotidentified
2879;Sabie;Mpumalanga;Pinus;patula;Seed/Cuttings;A;F;Healthy,J-rooting,Dryrootss,Plugbound;Discoloration,Outerbark,Betweenouter&innerbark;Health;Alive;Alive;ScreeningforFungal/bacteriumlpathogens
2880;Sabie;Mpumalanga;Pinus;patula;Seed/Cuttings;A;F;Dryrootss;Healthyy;Health;Alive;Wilted,Scorch,Discoloration;Secondarybacterium/Fungi
2881;Sabie;Mpumalanga;Pinus;patula;Seed/Cuttings;A;F;Dryrootss;Healthyy;Health;Alive;Alive;ScreeningforFusariumciricnatum/Diplodia
2882;Ngodwana;Mpumalanga;Pinus;patula;Seed/Cuttings;D;F;Dryrootss,discolourationonsomeoftheroots;Discoloration,Outerbark,Cambium,Betweenouter&innerbark,Sapwood;Discolorationn,Outerbark,Betweenouterandinnerbark;Alive;Alive;NoFusariumciricnatum,PythiumorPhytophthora
2883;Sabie;Mpumalanga;Pinus;patula;Seed/Cuttings;D;F;J-rooting;Discoloration,Outerbark;Health;Alive;Alive;IdentifiedasFusariumciricnatumFSPRootFSP
2884;Sabie;Mpumalanga;Pinus;patula;Seed/Cuttings;D;F;Healthy;Discoloration,Outerbark;Discolorationn,Outerbark;Alive;Alive;IdentifiedFusariumoxysporum
2885;Sabie;Mpumalanga;Pinus;patula;Seed/Cuttings;A;F;Welldeveloped,Healthy,J-rooting;Discoloration,Outerbark;Health;Alive;Alive;NoFusariumciricnatumcircinatumsp
2886;Sabie;Mpumalanga;Pinus;patula;Seed/Cuttings;A;F;Welldeveloped,Healthy,J-rooting,Plug-bound;Discoloration,Outerbark;Health;Alive;Alive;IdentifiedFusariumoxysporum
2887;Sabie;Mpumalanga;Pinus;patula;Seed/Cuttings;A;F;Welldeveloped,Healthy,J-rooting,Plug-bound;Discoloration,Outerbark,Betweenouter&innerbark;Health;Alive;Alive;NoFusariumciricnatumcircinatumsp
2888;Sabie;Mpumalanga;Pinus;patula;Seed/Cuttings;A;F;Welldeveloped,Healthy,Plugbound;Healthyy;Health;Alive;Alive;NoFusariumciricnatumcircinatumsp
2889;Lothair;Mpumalanga;Pinus;patula;Seed/Cuttings;D;F;J-rooting,Dryrootss,Healthy;Outerbark,Cambium,Betweenouter&innerbark,Sapwood;Discolorationn,Outerbark;Dead;Dead;IsolatedFusariumciricnatumfrom6/10samples
2890;Cramond;Kwazulu-Natal;Pinus;patula;Seed/Cuttings;A;F;Healthy;Fewroots,Dead;Discolorationn,Outerbark,Cambium;Discoloration,Outerbark,Cambium;Alive;IdentifiedDiplodiaandPestalotiopsis
