Index;Location;Province;Genus;species-clone;type-of-sample;Asymptomatic-diseased;Nursery-Field;Roots;Root-Collar;Stem;Growth-tip;Needles-Leaves;results
8600;Bergplaas;WesternCape;Pinus;radiata;Seed;D;F;Welldeveloped,Drying;Dead;Health;Kino/Gum/ResinExudation;Wilted,Discoloration;Fusariumscreening
8601;Karatara;WesternCape;Pinus;radiata;Seed/Cuttings;D;F;Healthy;Welldeveloped,Healthyy,J-rooting;Discolorationn;Healthy;Alive,Wilted;Cylindrocladiumsp
8602;Knysna;WesternCape;Pinus;radiata;Seed;A;F;Welldeveloped,Healthy;Welldeveloped,J-rooting,Dead,Plugboundd;Health;Alive;Wilted,Discoloration;Secondarybacterium/Fungi
8603;Elandshoogte;WesternCape;Pinus;radiata;Seed,Twigs/Branch,Leaves/Needles;D;F;Die-back;Welldeveloped,J-rooting,Dead,Plugboundd;Mechanicaldamage,Health;Alive,Clean;Fresh,Clean&Green;FSPrysphearia,Diplodia,Generalfungiandbacterium
8604;Karatara;WesternCape;Pinus;radiata;Soil,Seed/Cuttings;A;F;Welldeveloped,MostlyHealthy;DiscolorationPinkcolour,Outerbark;Health;Alive;Wilted,Stunted;Secondarybacterium/Fungi
8605;Karatara;WesternCape;Pinus;radiata;Soil,Seed/Cuttings;A;F;Dryrootss;Discoloration;Discolorationn;Die-back;Alive;NoFusariumciricnatum,PythiumorPhytophthora
8606;Karatara;WesternCape;Pinus;radiata;Seed/Cuttings;A;F;Healthy,Welldeveloped;Healthyy;Health;Healthy;S,Dead,Discoloration;Fcir
8607;Karatara;WesternCape;Pinus;radiata;Notspecified;D;N;Healthy;Welldeveloped,Healthyy;Health;Healthy;Alive;Fusarium/Phytophthora/PythiumFSPcreening
8608;Karatara;WesternCape;Pinus;radiata;Notspecified;D;N;Healthy;Healthyy;Health;Healthy;Alive;Fusarium/Phytophthora/PythiumFSPcreening
8609;Karatara;WesternCape;Pinus;radiata;Notspecified;D;N;Healthy;Noroots;Discolorationn,Outerbark;Healthy;Wilted;Fusarium/Phytophthora/PythiumFSPcreening
8610;Karatara;WesternCape;Pinus;radiata;Cuttings;D;F;discolourationofleaves,Die-back;Fewroots,Dead,Plugboundd;Discolorationn,Outerbark,Betweenouterandinnerbark,Cambium,Sapwood;Discoloration,Outerbark;Alive,Discoloration;FusariumandPhytophthorascreening
8611;Karatara;WesternCape;Pinus;radiata;Seed/Cuttings;A;F;Healthy;Welldeveloped;Health;Healthy;Alive;FusariumandPhytophthorascreening
8612;Karatara;WesternCape;Pinus;radiata;leaves,root;A;F;Healthy;Welldeveloped,Healthyy,Plugboundd;Health,Discolorationn,Outerbark,Cambium;K?/Gum/?/Exudation,Healthy;Alive;FusariumandPhytophthorascreening
8613;Karatara;WesternCape;Pinus;radiata;Graft;D;F;Healthy;Welldeveloped,Healthyy,Plugboundd;Girdling,Health,Discolorationn,Outerbark,Cambium;K?/Gum/?/Exudation,Healthy;Alive;FusariumandPhytophthorascreening
8614;Karatara;WesternCape;Pinus;radiata;HedgeSamples;A;F;Healthy;Welldeveloped,Healthyy,Plugboundd;Girdling,Health,Discolorationn,Outerbark,Cambium;Healthy;Alive;FusariumandPhytophthorascreening
8615;Cascades;WesternCape;Pinus;radiata;Seed/Cuttings;D;F;Healthy;Welldeveloped,Dead;Discolorationn,Outerbark,Cambium;Discoloration,Outerbark,Cambium;Alive;Fusariumcircitumscreening
8616;Karatara;WesternCape;Pinus;radiata;Seed/Cuttings;A;F;Healthy;Welldeveloped;Discolorationn,Outerbark,Betweenouterandinnerbark;Healthy;Alive;ScreeningforFusariumciricnatum
8617;Karatara;WesternCape;Pinus;radiata;Seed/Cuttings;A;F;Healthy;Welldeveloped;Discolorationn,Outerbark,Betweenouterandinnerbark;Healthy;Alive;ScreeningforFusariumciricnatum
8618;Karatara;WesternCape;Pinus;radiata;Seed/Cuttings;D;F;Healthy;Fewroots;Discolorationn,Outerbark,Betweenouterandinnerbark;Healthy;Alive;ScreeningforFusariumciricnatum
8619;klipkraal;Mpumalanga;Pinus;radiata;Seed;D;N;Welldeveloped,Healthy;Dead;Discolorationn,Sapwood;Wilted;Wilted,Discoloration;Foxy,FSP
8620;Lothair;Epsom;Pinus;radiata;Cuttings;D;F;Welldeveloped,Healthy;Dead;Discoloration,Outerbark,Cambium,Betweenouterandinnerbark,Sapwood;Wilted,Discoloration;Dead;Foxy
8621;Kwambonambi;Kwazulu-Natal;eucalyptus;radiata;Cuttings;D;F;Die-back;Dead;Health;Wilted,Discoloration;Dead;Collectotrichiumsp
8622;Ngodwananursery;Kwazulu-Natal;Pinus;radiata;Seed;D;N;Welldeveloped,J-rooting,Healthy;Welldeveloped,J-rooting,Dead;Health;Discoloration,Outerbark,Cambium,Betweenouterandinnerbark;Wilted,Dead;Fcir
8623;Karatara;WesternCape;Pinus;radiata;Seed;D;N;Browntips,Healthyroots;Welldeveloped,J-rooting,Dead,Plugboundd;Discolorationn,Outerbark,Betweenouterandinnerbark,Cambium;Discoloration,Cambium;Alive;Fcir
8624;Tokaiplantation;WesternCape;Pinus;radiata;Seed/Cuttings;D;F;Browntips,Healthyroots;Welldeveloped;Discolorationn;Alive;Alive;Fusarium,Pissodesnemorensis
8625;Karatara;WesternCape;Pinus;radiata;Seed;D;N;Healthy;Sapwood,Discoloration;Discolorationn,Sapwood;Healthy,Discoloration,Sapwood;Wilted,Dead;Fusarium,Diplodeapinea
8626;Jonkersburg;WesternCape;Pinus;radiata;Seed;D;N;Dryrootss,Healthy;Discoloration;Discolorationn,Sapwood;Alive;Brown;Fcir
8627;Howick;Kwazulu-Natal;Pinus;radiata;Seed/Cuttings;D;F;Welldeveloped,J-rooting,Healthy;Sapwood,Discoloration;Discolorationn;Discoloration;Alive;Fusariumscreening
8628;Ngodwana;Mpumalanga;Pinus;radiata;Seed/Cuttings;A;N;Drycorch;Dead;Discolorationn;Discoloration;Discoloration;Fusariumscreening
8629;Knysna;WesternCape;Pinus;radiata;Graft;D;N;Welldeveloped,Healthy;Welldeveloped,Dead;Discolorationn,Sapwood;Discoloration,Sapwood;Alive;Fusarium,PythiumandPhytophthorascreening
8630;Ezigro;Bergplaas;Pinus;radiata;Seed;D;F;Welldeveloped,Healthy;Discoloration,Outerbark,Betweenouter&innerbark;Health,Outerbark,Cambium,Betweenouterandinnerbark,Sapwood;ResinExudation;Wilted,Dead;Fusariumscreening
8631;Richmond;Comrie;Pinus;radiata;Soil,Seed,root,Seed,insect;A;N;Root:shootratio;Dead;Health;Healthy;Alive;Fusariumscreening
8632;Ruigtevlei;Bergplaas;Pinus;radiata;Seed;D;F;Welldeveloped,Healthy;Dead;Slightdiscoloration,Outerbark;Wilted,Discoloration;Wilted,Discoloration;Fusariumscreening
8633;Ruigtevlei;Comrie;Pinus;radiata;Seed;D;F;Welldeveloped,Healthy;Discoloration,Outerbark,Betweenouter&innerbark;Slightdiscoloration,Outerbark;Alive;Wilted,Discoloration;Fusariumscreening
8634;Ruigtevlei;Comrie;Pinus;radiata;Seed;D;F;Welldeveloped,Healthy;Dead;Health,Outerbark,Cambium,Betweenouterandinnerbark,Sapwood;Discoloration;Wilted,Dead;Fusariumscreening
8635;Witelsbos;Comrie;Pinus;radiata;Seed;D;F;Welldeveloped,Healthy;Dead;Health;Wilted;Wilted,Discoloration;Fusariumscreening
8636;Blueliliesbush;Bergplaas;Pinus;radiata;Seed;D;F;Welldeveloped,Healthy;Dead;Health,Outerbark,Cambium,Betweenouterandinnerbark,Sapwood;Kino/Gum/ResinExudation;Wilted,Dead;Fusariumscreening
8637;Ruigtevlei;Bergplaas;Pinus;radiata;Seed/Cuttings;A;F;Healthy;Healthyy;Health;Healthy;Alive;Fusariumscreening
8638;Ruigtevlei;Comrie;Pinus;radiata;Seed/Cuttings;A;F;Healthy;Welldeveloped,Healthyy,J-rooting;Health;Healthy;Alive;Fusariumscreening
